Kurs Jual,Tanggal
14575.52,07/16/2021
14565.47,07/15/2021
14558.43,07/14/2021
14558.43,07/13/2021
14620.74,07/12/2021
14620.74,07/09/2021
14572.5,07/08/2021
14540.34,07/07/2021
14554.41,07/06/2021
14636.82,07/05/2021
14611.7,07/02/2021
14614.71,07/01/2021
14568.48,06/30/2021
14544.36,06/29/2021
14519.24,06/28/2021
14534.31,06/25/2021
14526.27,06/24/2021
14493.11,06/23/2021
14525.27,06/22/2021
14475.02,06/21/2021
14449.89,06/18/2021
14328.29,06/17/2021
14315.22,06/16/2021
14293.11,06/15/2021
14277.03,06/14/2021
14311.2,06/11/2021
14333.31,06/10/2021
14333.31,06/09/2021
14342.36,06/08/2021
14387.58,06/07/2021
14368.49,06/04/2021
14347.38,06/03/2021
14363.46,06/02/2021
14381.55,06/01/2021
14381.55,05/31/2021
14383.56,05/28/2021
14406.68,05/27/2021
14433.81,05/26/2021
14433.81,05/25/2021
14446.88,05/24/2021
14467.98,05/21/2021
14384.57,05/20/2021
14371.5,05/19/2021
14355.42,05/18/2021
14274.02,05/17/2021
14268.99,05/14/2021
14268.99,05/13/2021
14268.99,05/12/2021
14268.99,05/11/2021
14360.45,05/10/2021
14435.82,05/07/2021
14511.2,05/06/2021
14503.16,05/05/2021
14539.34,05/04/2021
14525.27,05/03/2021
14540.34,04/30/2021
14582.55,04/29/2021
14569.49,04/28/2021
14561.45,04/27/2021
14620.74,04/26/2021
14602.65,04/23/2021
14621.75,04/22/2021
14580.54,04/21/2021
14640.84,04/20/2021
14664.96,04/19/2021
14719.23,04/16/2021
14706.17,04/15/2021
14721.24,04/14/2021
14704.16,04/13/2021
14652.9,04/12/2021
14652.9,04/09/2021
14585.57,04/08/2021
14591.6,04/07/2021
14605.67,04/06/2021
14656.92,04/05/2021
14649.89,04/02/2021
14649.89,04/01/2021
14644.86,03/31/2021
14553.41,03/30/2021
14506.17,03/29/2021
14518.23,03/26/2021
14536.32,03/25/2021
14527.28,03/24/2021
14493.11,03/23/2021
14528.28,03/22/2021
14548.38,03/19/2021
14484.06,03/18/2021
14531.3,03/17/2021
14496.12,03/16/2021
14490.09,03/15/2021
14442.86,03/12/2021
14493.11,03/11/2021
14493.11,03/10/2021
14540.34,03/09/2021
14461.95,03/08/2021
14442.86,03/05/2021
14370.5,03/04/2021
14405.67,03/03/2021
14378.54,03/02/2021
14371.5,03/01/2021
14300.15,02/26/2021
14174.52,02/25/2021
14159.45,02/24/2021
14196.63,02/23/2021
14168.49,02/22/2021
14155.43,02/19/2021
14129.3,02/18/2021
14089.1,02/17/2021
13944.38,02/16/2021
14015.73,02/15/2021
14081.06,02/12/2021
14081.06,02/11/2021
14058.95,02/10/2021
14070.0,02/09/2021
14070.0,02/08/2021
14132.31,02/05/2021
14106.18,02/04/2021
14087.09,02/03/2021
14114.22,02/02/2021
14112.21,02/01/2021
14154.42,01/29/2021
14189.6,01/28/2021
14161.46,01/27/2021
14156.43,01/26/2021
14152.41,01/25/2021
14124.27,01/22/2021
14109.2,01/21/2021
14135.33,01/20/2021
14156.43,01/19/2021
14150.4,01/18/2021
14138.34,01/15/2021
14189.6,01/14/2021
14179.55,01/13/2021
14302.16,01/12/2021
14225.78,01/11/2021
14128.29,01/08/2021
14007.69,01/07/2021
13995.63,01/06/2021
14014.73,01/05/2021
13972.52,01/04/2021
